company,device,price,year,announced,dim_length,dim_breadth,dim_thickness,weight,display_tech,display_size,px_row,px_col,aspect_row,aspect_col,camera,video,cam_px,selfie,sel_px,sim_no,os,os_type,card_slot,chipset,cpu,gpu,ram,LTE,gps,radio,nfc,wlan,audio_jack,battery_mah,bt_v
Karbonn,A2+,50,2013,2013,124,63.6,12.4,110,Capacitive touchscreen,4,480,800,5,3,3.15 MP,Yes,3.15,Yes,NA,2,Android 4.0 (Ice Cream Sandwich),Android,microSD,NA,NA,NA,NA,No,No,Yes,No,Yes,Yes,1750,NA
Karbonn,A27 Retina,160,2013,"2013, March",133.6,66,9.1,126.5,IPS LCD capacitive touchscreen,4.3,540,960,16,9,"8 MP, autofocus, LED flash",Yes,8,2 MP,2,2,Android 4.1 (Jelly Bean),Android,microSD,NA,Dual-core 1.2 GHz,NA,0.5,No,Yes,Yes,No,Yes,Yes,1800,NA
Karbonn,A111,150,2013,"2013, March",148,80,12,NA,TFT capacitive touchscreen,5,480,800,5,3,"5 MP, autofocus, LED flash",Yes,5,Yes,NA,2,Android 4.0 (Ice Cream Sandwich),Android,microSD,NA,Dual-core 1.2 GHz,NA,0.5,No,Yes,Yes,No,Yes,Yes,2150,NA
Karbonn,A6,80,2013,"2013, March",128,65.7,11.6,114.5,"IPS LCD capacitive touchscreen, 256K colors",4,480,800,5,3,"5 MP, LED flash",Yes,5,Yes,NA,2,Android 4.0 (Ice Cream Sandwich),Android,microSD,NA,1.0 GHz,NA,0.5,No,No,Yes,No,Yes,Yes,1450,NA
Karbonn,A4,70,2013,"2013, March",124.8,66,9.5,75,"TFT capacitive touchscreen, 256K colors",4,320,480,3,2,3.15 MP,Yes,3.15,Yes,NA,2,Android 2.3.6 (Gingerbread),Android,microSD,NA,NA,NA,NA,No,No,Yes,No,Yes,Yes,1400,NA
Karbonn,A3,70,2013,"2013, March",113,61,13.5,90,"TFT capacitive touchscreen, 16M colors",4,320,480,3,2,3.15 MP,Yes,3.15,VGA,0.3,2,Android 2.3.6 (Gingerbread),Android,microSD,NA,1.0 GHz,NA,0.25,No,No,Yes,No,Yes,Yes,1400,NA
Karbonn,A2,70,2013,"2013, March",124,63.6,12.4,110,Capacitive touchscreen,4,480,800,5,3,3.15 MP,Yes,3.15,Yes,NA,2,Android 2.3.6 (Gingerbread),Android,microSD,NA,NA,NA,NA,No,No,Yes,No,No,Yes,1750,NA
Karbonn,S5 Titanium,160,2013,"2013, March",144,72,9,200,"IPS LCD capacitive touchscreen, 16M colors",5,540,960,16,9,"8 MP, autofocus, LED flash",Yes,8,2 MP,2,2,Android 4.1 (Jelly Bean),Android,microSD,Qualcomm MSM8225Q Snapdragon S4 Play,Quad-core 1.2 GHz Cortex-A5,Adreno 203,1,No,Yes,Yes,No,Yes,Yes,2000,2.1
Karbonn,S1 Titanium,150,2013,"2013, January",134.6,66,9.3,NA,"IPS LCD capacitive touchscreen, 16M colors",4.5,540,960,16,9,"5 MP, autofocus, LED flash",Yes,5,Yes,NA,2,Android 4.1 (Jelly Bean),Android,microSD,NA,Quad-core 1.2 GHz,NA,1,No,Yes,Yes,No,Yes,Yes,1600,NA
Karbonn,KT21 Express,40,2012,2012,NA,NA,NA,NA,TFT capacitive touchscreen,2.8,NA,NA,4,3,"3.15 MP, LED flash",Yes,3.15,No,NA,2,NA,NA,microSD,NA,NA,NA,NA,No,No,Yes,No,No,Yes,1000,NA
Karbonn,K65 Buzz,40,2012,2012,NA,NA,NA,NA,TFT capacitive touchscreen,3.5,NA,NA,4,3,2 MP,Yes,2,No,NA,2,NA,NA,microSD,NA,NA,NA,NA,No,No,Yes,No,No,Yes,1200,NA
Karbonn,K9 Jumbo,30,2012,2012,115,50,15.5,112,"TFT, 256K colors",2.4,240,320,4,3,1.3 MP,480p,1.3,No,NA,2,NA,NA,microSD,NA,NA,NA,NA,No,No,Yes,No,No,Yes,1800,NA
Karbonn,A9,110,2012,2012,120,60.5,11.3,NA,"TFT capacitive touchscreen, 256K colors",3.8,480,800,5,3,"5 MP, autofocus, LED flash",Yes,5,Yes,NA,2,Android 2.3.6 (Gingerbread),Android,microSD,NA,1.0 GHz,NA,NA,No,Yes,Yes,No,Yes,Yes,1600,2.1
Karbonn,KT62,30,2012,2012,100,55,13,85,TFT touchscreen,2.8,240,320,4,3,Yes,Yes,NA,No,NA,2,NA,NA,microSD,NA,NA,NA,NA,No,No,Yes,No,No,Yes,1000,NA
Karbonn,K52 Groovster,20,2012,2012,115,52,15.2,NA,TFT,2.4,240,320,4,3,1.3 MP,Yes,1.3,No,NA,2,NA,NA,microSD,NA,NA,NA,NA,No,No,Yes,No,No,No,1800,NA
Karbonn,K4+ Titan,30,2012,2012,118.8,52.5,14.9,95,"TFT, 65K colors",2.6,240,320,4,3,1.3 MP,Yes,1.3,No,NA,2,NA,NA,microSD,NA,NA,NA,NA,No,No,Yes,No,No,No,2200,NA
Karbonn,K707 Spy II,20,2012,2012,118.9,49.8,15.7,100,"TFT, 65K colors",2.4,240,320,4,3,1.3 MP,Yes,1.3,No,NA,2,NA,NA,microSD,NA,NA,NA,NA,No,No,Yes,No,No,Yes,1800,NA
Karbonn,K451+ Sound Wave,20,2012,2012,116.5,51.9,14.6,NA,"TFT, 65K colors",2.4,240,320,4,3,1.3 MP,Yes,1.3,No,NA,2,NA,NA,microSD,NA,NA,NA,NA,No,No,Yes,No,No,Yes,1800,NA
Karbonn,KC540 Blaze,40,2012,2012,111.2,46.8,13.9,80,"TFT, 65K colors",2.2,240,320,4,3,1.3 MP,Yes,1.3,No,NA,2,NA,NA,microSD,NA,NA,NA,NA,No,No,Yes,No,No,No,1000,NA
Karbonn,A1+,50,2012,2012,114.5,60.6,13.8,130,"TFT capacitive touchscreen, 256K colors",3.5,320,480,3,2,3 MP,Yes,3,VGA,0.3,2,Android 2.3.6 (Gingerbread),Android,microSD,NA,1.0 GHz,NA,0.25,No,No,Yes,No,Yes,Yes,1500,2.1
Karbonn,A21,130,2012,2012,NA,NA,NA,NA,"TFT capacitive touchscreen, 256K colors",4.5,480,800,5,3,"5 MP, autofocus, LED flash",Yes,5,1.3 MP,1.3,2,Android 4.0 (Ice Cream Sandwich),Android,microSD,NA,Dual-core 1.2 GHz,NA,0.5,No,Yes,No,No,Yes,Yes,1800,2.1
Karbonn,A11,100,2012,2012,NA,NA,NA,NA,"TFT capacitive touchscreen, 256K colors",4,480,800,5,3,"5 MP, autofocus, LED flash",Yes,5,1.3 MP,1.3,2,Android 4.0.4 (Ice Cream Sandwich),Android,microSD,NA,1.0 GHz,NA,0.5,No,Yes,No,No,Yes,Yes,1500,4
Karbonn,K440,30,2012,2012,119.5,54,13.5,NA,"TFT, 256K colors",2.6,240,320,4,3,1.3 MP,Yes,1.3,No,NA,2,NA,NA,microSD,NA,NA,NA,NA,No,No,Yes,No,No,No,2100,NA
Karbonn,A9+,120,2012,2012,120,60.5,11.3,NA,"IPS LCD capacitive touchscreen, 16M colors",4,480,800,5,3,"5 MP, autofocus, LED flash",Yes,5,1.3 MP,1.3,2,Android 4.0 (Ice Cream Sandwich),Android,microSD,NA,Dual-core 1.2 GHz,NA,0.5,No,Yes,Yes,No,Yes,Yes,1420,NA
Karbonn,K11+,30,2012,2012,NA,NA,NA,61,"TFT, 65K colors",2.4,240,320,4,3,VGA,Yes,0.3,No,NA,2,NA,NA,microSD,NA,NA,NA,NA,No,No,Yes,No,No,No,1000,NA
Karbonn,A15,80,2012,2012,NA,NA,NA,NA,TFT touchscreen,4,480,800,5,3,3.15 MP,Yes,3.15,No,NA,2,Android 4.0.4 (Ice Cream Sandwich),Android,microSD,NA,1.0 GHz,NA,0.5,No,Yes,Yes,No,Yes,Yes,1420,NA
Karbonn,A30,160,2012,2012,166,91,10.7,280,"TFT capacitive touchscreen, 256K colors",5.9,480,800,5,3,"8 MP, autofocus, LED flash",Yes,8,1.3 MP,1.3,2,Android 4.0.4 (Ice Cream Sandwich),Android,microSD,NA,Dual-core 1.0 GHz,NA,0.5,No,Yes,Yes,No,Yes,Yes,2500,NA
Kyocera,DuraForce Pro,NA,2016,"2016, August",148.4,73.4,12.9,230,"IPS LCD capacitive touchscreen, 16M colors",5,1080,1920,16,9,"Dual: 13 MP, autofocus, LED flash",1080p@30fps,13,5 MP,5,1,Android 6.0 (Marshmallow),Android,microSD,Qualcomm MSM8952 Snapdragon 617,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),Adreno 405,3,Yes,Yes,No,Yes,Yes,Yes,3240,4.2
Kyocera,DuraForce XD,NA,2015,"2015, October",166.8,86.4,13.9,307,"IPS LCD capacitive touchscreen, 16M colors",5.7,720,1280,16,9,"8 MP, autofocus, LED flash",1080p@30fps,8,2 MP,2,1,Android 5.1 (Lollipop),Android,microSD,Qualcomm MSM8928 Snapdragon 400,Quad-core 1.6 GHz Cortex-A7,Adreno 305,2,Yes,Yes,No,Yes,Yes,Yes,3700,4.1
Kyocera,DuraForce,320,2014,"2014, November",136.9,70.6,14,200,"IPS LCD capacitive touchscreen, 16M colors",4.5,720,1280,16,9,"8 MP, autofocus, LED flash",1080p@30fps,8,2 MP,2,1,Android 4.4.2 (KitKat),Android,microSD,Qualcomm MSM8928 Snapdragon 400,Quad-core 1.4 GHz Cortex-A7,Adreno 305,2,Yes,Yes,No,Yes,Yes,Yes,3100,4
Kyocera,Hydro Life,NA,2014,"2014, August",131.8,65.4,10.9,136,"IPS LCD capacitive touchscreen, 16M colors",4.5,540,960,16,9,"5 MP, LED flash",720p@30fps,5,2 MP,2,1,Android 4.3 (Jelly Bean),Android,microSD,Qualcomm MSM8212 Snapdragon 200,Quad-core 1.2 GHz Cortex-A7,Adreno 302,5,No,Yes,No,No,Yes,Yes,2000,4
Kyocera,Brigadier,300,2014,"2014, July",136.4,68.3,13.2,187.1,"Capacitive touchscreen, 16M colors",4.5,720,1280,16,9,"8 MP, autofocus, LED flash",1080p@30fps,8,2 MP,2,1,Android 4.4.2 (KitKat),Android,microSD,Qualcomm Snapdragon 400,Quad-core 1.4 GHz Cortex-A7,Adreno 305,2,Yes,Yes,No,Yes,Yes,Yes,3100,4
Kyocera,Hydro Elite,NA,2013,"2013, Q3",122.4,60.4,10.8,128,"Capacitive touchscreen, 16M colors",4.3,720,1280,16,9,"8 MP, autofocus, LED flash",1080p@30fps,8,1.3 MP,1.3,1,Android 4.1.2 (Jelly Bean),Android,microSD,Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.5 GHz Krait,Adreno 225,5,Yes,Yes,No,Yes,Yes,Yes,2100,4
Kyocera,Hydro Xtrm,NA,2013,"2013, May",124,64,10.7,139,IPS LCD capacitive touchscreen,4,480,800,5,3,"5 MP, autofocus, LED flash",Yes,5,1.3 MP,1.3,1,Android 4.1.2 (Jelly Bean),Android,microSD,Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.2 GHz Krait,Adreno 225,1,Yes,Yes,No,No,Yes,Yes,2000,4
Kyocera,Torque E6710,270,2013,"2013, January",128.5,68.4,12.9,168.5,IPS LCD capacitive touchscreen. 16M colors,4,480,800,5,3,"5 MP, autofocus, LED flash",1080p@30fps,5,1.3 MP,1.3,1,Android 4.0.4 (Ice Cream Sandwich),Android,microSD,Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.2 GHz Krait,Adreno 225,1,Yes,Yes,No,Yes,Yes,Yes,2500,4
Kyocera,Hydro C5170,NA,2012,"2012, May",115,62,12.8,120,IPS LCD capacitive touchscreen,3.5,320,480,3,2,"3.15 MP, autofocus",Yes,3.15,No,NA,1,Android 4.0 (Ice Cream Sandwich),Android,microSD,Qualcomm MSM8655 Snapdragon S2,1.0 GHz,Adreno 205,0.5,No,Yes,No,No,Yes,Yes,1500,2.1
Kyocera,Rise C5155,NA,2012,"2012, May",113,60.5,14.3,158,IPS LCD capacitive touchscreen,3.5,320,480,3,2,"3.15 MP, autofocus",Yes,3.15,No,NA,1,Android 4.0 (Ice Cream Sandwich),Android,microSD,Qualcomm MSM8655 Snapdragon S2,1.0 GHz,Adreno 205,0.5,No,Yes,No,No,Yes,Yes,1500,2.1
Kyocera,Milano C5121,NA,2011,"2011, September",105,61,17.1,158,"TFT capacitive touchscreen, 256K colors",3,240,320,4,3,"3.15 MP, autofocus",Yes,3.15,No,NA,1,Android 2.3 (Gingerbread),Android,microSD,Qualcomm MSM7627T,800 MHz,NA,0.5,No,Yes,No,No,Yes,Yes,1490,2.1
Kyocera,Milano C5120,NA,2011,"2011, September",105,61,17.1,158,"TFT capacitive touchscreen, 256K colors",3,240,320,4,3,"3.15 MP, autofocus",Yes,3.15,No,NA,1,Android 2.3 (Gingerbread),Android,microSD,Qualcomm MSM7627T,800 MHz,NA,0.5,No,Yes,No,No,Yes,Yes,1490,2.1
Kyocera,Brio,NA,2011,"2011, September",113.5,60,14.5,105,"TFT, 256K colors",2.2,320,240,4,3,1.3 MP,Yes,1.3,No,NA,1,NA,NA,microSD,Qualcomm QSC6055,NA,NA,NA,No,Yes,No,No,No,No,870,2
Kyocera,Echo,350,2011,"2011, March",115,56.5,17.2,193,"Dual TFT capacitive touchscreens, 256K colors",3.5,480,800,5,3,"5 MP, autofocus, LED flash",720p,5,Yes,NA,1,"Android 2.2 (Froyo), upgradable to 2.3 (Gingerbread)",Android,microSD,Qualcomm QSD8650 Snapdragon S1,1.0 GHz Scorpion,Adreno 200,0.5,No,Yes,No,No,Yes,Yes,1370,2.1
Kyocera,E4600,NA,2008,"2008, August. Released 2008, August",103,51,15,85,"TFT, 65K colors",2.2,176,220,NA,NA,"2 MP, LED flash",Yes,2,No,NA,1,NA,NA,microSD,NA,NA,NA,NA,No,Yes,No,No,No,No,780,2
Kyocera,E3500,NA,2008,"2008, April. Released 2008, April",103,50.5,16.5,84,"TFT, 256K colors",2,176,220,NA,NA,"1.3 MP, LED flash",Yes,1.3,No,NA,1,NA,NA,microSD,NA,NA,NA,NA,No,Yes,No,No,No,No,920,2
Kyocera,E2500,70,2008,"2008, April. Released 2008, April",105,48,12,69,"CSTN, 65K colors",2,128,128,1,1,1.3 MP,No,1.3,No,NA,1,NA,NA,microSD,NA,NA,NA,NA,No,No,No,No,No,No,920,1.2
Kyocera,S1600,NA,2008,"2008, April. Released 2008, April",104,48,11.5,59,"CSTN, 65K colors",1.5,128,128,1,1,VGA,up to 15 sec,0.3,No,NA,1,NA,NA,No,NA,NA,NA,NA,No,No,No,No,No,No,650,NA
Lava,Z90,10750,2017,"2017, September",148.5,73.1,8.1,159,"IPS LCD capacitive touchscreen, 16M colors",5.2,720,1280,16,9,"Dual: 8 MP + 2 MP, f/2.0, LED flash",1080p@30fps,8,"8 MP, f/2.0, LED flash",8,2,Android 7.0 (Nougat),Android,microSD,Mediatek MT6737,Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,3,Yes,Yes,Yes,No,Yes,Yes,2750,4
Lava,Z80,9000,2017,"2017, September",148.5,73.1,8.1,136.8,"IPS LCD capacitive touchscreen, 16M colors",5,720,1280,16,9,"8 MP, f/2.0, LED flash",720p@30fps,8,"5 MP (f/2.0, 1.4 Âµm), LED flash",5,2,Android 7.0 (Nougat),Android,microSD,Mediatek MT6737,Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,3,Yes,Yes,Yes,No,Yes,Yes,2500,4
